employeeId	firstName	lastName	DOB	phone
1	Corky	Cartwright	1970-01-01	713-555-1234
2	Swarat	Chaudhuri	1975-07-10	713-555-7654
3	Keith	Cooper	1980-03-16	713-555-4455
4	Alan	Cox	1982-04-27	713-555-8790
5	Ron	Goldman	1988-04-29	713-555-2333
6	John	Greiner	1976-05-22	713-555-5477
7	Chris	Jermaine	1989-12-06	832-555-7732
8	Dave	Johnson	1981-11-03	713-555-5987
9	Lydia	Kavraki	1974-09-17	713-555-3451
10	John	Mellor-Crummey	1986-08-31	713-555-8521
11	Luay	Nakhleh	1975-06-25	281-555-6641
12	Eugene	Ng	1981-07-23	713-555-1231
13	Krishna	Palem	1980-04-19	832-555-1243
14	Scott	Rixner	1990-05-18	713-555-3254
15	Anshu	Shrivastava	1987-02-15	713-555-6732
16	Devika	Subramanian	1985-01-18	713-555-3155
17	Moshe	Vardi	1971-10-31	832-555-0034
18	Dan	Wallach	1977-11-21	713-555-3209
19	Joe	Warren	1988-12-13	713-555-7631
20	Stephen	Wong	1990-01-30	713-555-4323
21	David	Leebron	1970-07-04	281-555-9000
